item_id,book_title,author,average_rating
1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,4.57
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,4.5
3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,4.47
4,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,4.42
5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,4.57
6,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,4.56
8,"Harry Potter Boxed Set, Books 1-5 (Harry Potter, #1-5)",J.K. Rowling,4.78
9,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,3.79
10,"Harry Potter Collection (Harry Potter, #1-6)",J.K. Rowling,4.73
12,"The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy, #1-5)",Douglas Adams,4.37
13,"The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5)",Douglas Adams,4.37
14,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,4.22
18,"The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy, #1-5)",Douglas Adams,4.37
21,A Short History of Nearly Everything,Bill Bryson,4.21
22,Bill Bryson's African Diary,Bill Bryson,3.45
23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.88
24,In a Sunburned Country,Bill Bryson,4.07
25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.9
26,The Lost Continent: Travels in Small Town America,Bill Bryson,3.83
27,Neither Here nor There: Travels in Europe,Bill Bryson,3.86
28,Notes from a Small Island,Bill Bryson,3.92
29,The Mother Tongue: English and How It Got That Way,Bill Bryson,3.93
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.6
31,"The Lord of the Rings (The Lord of the Rings, #1-3)",J.R.R. Tolkien,4.5
34,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,4.36
36,The Lord of the Rings: Weapons and Warfare,Chris   Smith,4.53
37,The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.5
38,The Lord of the Rings Box Set,J.R.R. Tolkien,4.5
45,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas,3.84
46,Ruby Quickly: Ruby and Rails for the Real World,Mark   Watson,3.4
50,"Hatchet (Brian's Saga, #1)",Gary Paulsen,3.72
51,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes,4
53,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.88
54,Molly Hatchet - 5 of the Best,Molly Hatchet,4.33
55,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.46
56,The Woodsman and His Hatchet: Eighty Years on Back Country Survival,Bud Cheff Sr.,3.6
57,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight,3.76
58,"Changeling (Changeling, #1)",Delia Sherman,3.6
59,The Changeling Sea,Patricia A. McKillip,4.06
61,The Changeling,Zilpha Keatley Snyder,4.17
65,"Shadows in the Starlight (Changeling Detective, #2)",Elaine Cunningham,3.68
66,"The Changeling (Daughters of England, #15)",Philippa Carr,3.98
67,The Known World,Edward P. Jones,3.83
71,"Traders, Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives",Satyajit Das,3.83
72,Artesia: Adventures in the Known World,Mark Smylie,4.13
74,"The John McPhee Reader (John McPhee Reader, #1)",John McPhee,4.42
75,Uncommon Carriers,John McPhee,3.95
76,Heirs of General Practice,John McPhee,4.16
77,The Control of Nature,John McPhee,4.24
78,Annals of the Former World,John McPhee,4.34
79,Coming Into the Country,John McPhee,4.22
80,La Place de la Concorde Suisse,John McPhee,3.92
81,Giving Good Weight,John McPhee,4.22
82,"The Second John McPhee Reader (John McPhee Reader, #2)",John McPhee,4.37
83,Rising from the Plains,John McPhee,4.23
85,The Heidi Chronicles,Wendy Wasserstein,3.75
86,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.84
89,"Active Literacy Across the Curriculum: Strategies for Reading, Writing, Speaking, and Listening",Heidi Hayes Jacobs,3.94
90,Simply Beautiful Beaded Jewelry,Heidi Boyd,3.77
91,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker,4.46
92,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,3.66
93,"Heidi (Heidi, #1-2)",Johanna Spyri,3.99
94,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.25
95,"Cinnamon and Roses (Rose Trilogy, #1)",Heidi Betts,3.83
96,There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker,4.46
98,What to Expect the First Year (What to Expect),Heidi Murkoff,3.89
99,The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss,3.82
100,Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.78
